request_index,url,status_code,success,error_message,api_request_response_ms,backend_latency_ms,timingMs.total_backend,timingMs.feature_extraction,timingMs.brand_analysis,timingMs.histgb_inference,timingMs.url_transformer_inference,timingMs.decision_fusion
85,https://mhrs.gov.tr,200,True,,57.1374,52.0000,51.8371,8.4706,0.2891,31.7594,3.5481,0.0724
86,https://ziraatbank.com.tr,200,True,,59.2586,54.0000,54.0957,13.7059,0.2202,31.4462,,0.0485
87,https://garanti.com.tr,200,True,,58.7346,54.0000,53.5254,13.0485,0.1751,32.9534,,0.0555
88,https://trendyol.com,200,True,,59.9263,55.0000,54.8972,14.8123,0.4287,31.8031,,0.0517
89,https://kkktun.edu.tr,200,True,,87.3613,82.0000,82.0334,10.7190,34.1191,25.0553,3.3319,0.0771
90,https://ktun-login.com,200,True,,147.8265,143.0000,142.7926,12.0484,87.1483,31.2985,3.9562,0.0715
91,https://login-ziraat-bankasi-guvenli.com/login,200,True,,251.6761,246.0000,246.2833,32.7459,152.6122,46.1502,4.8881,0.0828
92,https://garanti-guvenli.com/login,200,True,,215.7777,210.0000,210.1732,25.8451,108.1541,62.6479,4.7883,0.0810
93,https://turkiye-gov-tr.com/basvuru,200,True,,191.6895,186.0000,186.1507,17.5978,94.1058,61.3972,4.4007,0.0779
94,https://edevlet-basvuru.net/login,200,True,,203.0949,198.0000,197.5893,23.3257,95.1038,63.6024,7.1903,0.0832
95,https://enabiz-sonuc.com,200,True,,224.4453,218.0000,217.7563,19.5880,102.8929,80.7586,4.3450,0.1028
96,https://mhrs-randevu.org,200,True,,202.8826,197.0000,196.8099,18.5484,108.7528,57.4349,4.3749,0.0915
97,https://ptt-kargo-takip.net,200,True,,164.9206,160.0000,159.7090,14.8271,93.3037,39.5228,3.4210,0.0949
98,https://trendyol-iade-formu.com,200,True,,183.7064,159.0000,159.3858,23.9284,87.7014,36.5638,3.4666,0.0710
99,https://vakifbank-dogrulama.com,200,True,,148.8302,143.0000,143.3525,23.7190,78.6315,29.7618,3.0077,0.0728
100,https://webtapu-randevu.com,200,True,,131.6832,127.0000,126.8344,19.0140,68.6300,27.4957,3.1139,0.0754
