Model,Accuracy_mean,Accuracy_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_Macro_mean,Precision_Macro_std,Recall_Macro_mean,Recall_Macro_std,F1_Macro_mean,F1_Macro_std,F1_Weighted_mean,F1_Weighted_std,MCC_mean,MCC_std,Cohen_Kappa_mean,Cohen_Kappa_std,ROC_AUC_OVR_mean,ROC_AUC_OVR_std,ROC_AUC_OVO_mean,ROC_AUC_OVO_std,PR_AUC_mean,PR_AUC_std,Log_Loss_mean,Log_Loss_std,Brier_Score_mean,Brier_Score_std,Train_Time_s_mean,Train_Time_s_std,Pred_Time_s_mean,Pred_Time_s_std,Total_Errors
HistGB,0.9122301783995839,0.004461139201353097,0.8917207162547088,0.0120599582432229,0.9263258941055799,0.004660176915093992,0.8917207162547088,0.0120599582432229,0.9069623571276555,0.008601379735746428,0.9124669055974785,0.004351987166295827,0.8719947063895592,0.006531521951398887,0.87069900702128,0.006760162080483097,0.98141357470702,0.0018583177158932474,0.9834492198258109,0.0023795918971365364,0.9384783249859732,0.008600266314956785,0.2608721427865609,0.0151349279465282,,,507.96000000000004,8.088448553338289,15.674000000000001,0.16531787562148242,108802
XGBoost,0.8935103891748474,0.005101079377640895,0.8746258599329009,0.011739948651433664,0.9101788137030521,0.0034891706672045457,0.8746258599329009,0.011739948651433664,0.8901974775101262,0.007205422429301053,0.8938471112336229,0.005023238569134786,0.8445609852199946,0.007765619691743521,0.8432176969287498,0.007751844235604052,0.9753047499345613,0.002381435194253854,0.9788417903137251,0.0028574804431927823,0.9249263786161375,0.0063976896169302706,0.3189943388944553,0.012203109835463629,,,177.0,7.599342076785329,2.034,0.1575753787874236,131986
LightGBM,0.9039091212269446,0.0043628114294750235,0.9059375391304119,0.011331305657526708,0.8725906004738485,0.005236763121808329,0.9059375391304119,0.011331305657526708,0.8850247663030528,0.008482841487891442,0.9042107534214507,0.004205802613047423,0.8612388968755825,0.006458538904355588,0.8593731263473894,0.006702982064320006,0.9803223610428315,0.00187961976597076,0.9853218139938245,0.0023612364713075156,0.9359652842688032,0.006459274318734669,0.30868216150169153,0.009754780928819063,,,145.11999999999998,3.5273219303034935,9.35,0.39325564204471414,119109
RandomForest,0.8739562259698438,0.002436813206818818,0.8848865285170836,0.00753690721865266,0.850394108411112,0.003225868100938103,0.8848865285170836,0.00753690721865266,0.8623702655969101,0.0048845173238361095,0.8741413144311441,0.002442026964985729,0.8180434245197186,0.0041353197873251046,0.8159858083570952,0.004096833161076268,0.969761455446546,0.0011944771787093253,0.9784100895237282,0.001722501430214149,0.9091846257377656,0.004423407407157954,0.5108936835350284,0.004403904500870437,,,161.16,4.326430399301481,2.55,0.18520259177452145,156200
LogisticRegression,0.826423665736544,0.005442573741807492,0.8554060702255212,0.010241344070103318,0.7742868695129472,0.004698117193031049,0.8554060702255212,0.010241344070103318,0.8029703501063864,0.00643609370563057,0.8271127164851514,0.005070619291395762,0.7502072481898449,0.00705958207826865,0.7483585225115188,0.007160134093617061,0.9529312638272158,0.003428103150076325,0.967325739105416,0.003571577710152102,0.8587128244827518,0.008088221333844828,0.5484600888474496,0.016414725509068293,,,420.06000000000006,46.147080080975876,0.5239999999999999,0.02792848008753786,215170
ExtraTrees,0.808476543926781,0.004961316152985325,0.8390359956035345,0.0036774284497044737,0.7854373240458262,0.004578908265683855,0.8390359956035345,0.0036774284497044737,0.8027117069092344,0.004195229848481014,0.8104449835348533,0.00472635726675361,0.7262612218470968,0.0077700147804138095,0.7229114599967776,0.008221482252792393,0.9543244369928656,0.0007722966128641337,0.967066775663939,0.0003786672212416591,0.8670818854221197,0.004179597322590822,0.7217536402876001,0.004129640569853272,,,104.55999999999999,2.5628109567426107,2.3400000000000003,0.08544003745317544,237310
ComplementNB,0.6727136972051715,0.007459699854256343,0.6497858149468139,0.009896800703262912,0.68994684847701,0.009420005045539366,0.6497858149468139,0.009896800703262912,0.6586092404800864,0.010285008384877368,0.6749090975988612,0.0067097092633536136,0.5267396130415991,0.01202373534662119,0.52556174533951,0.012060288316183724,0.8563533084753254,0.002627946416286565,0.8644330485639651,0.002787348993250986,0.7020978666986665,0.0081590316641368,1.0569568469167665,0.005794259180796681,,,18.78,0.2167948338867878,0.49800000000000005,0.029495762407505278,405557
