setting,description,fold,num_features,lexical_structural,brand_adversarial,turkish_linguistic,graph_infrastructure,binary_auc,binary_f1,binary_mcc,five_class_accuracy,five_class_macro_f1,five_class_weighted_f1,fit_time_sec,predict_time_sec,inference_ms_per_url
A1,Lexical + structural only,0,56,True,False,False,False,0.9952759022848918,0.9864335856326655,0.9087736232431924,0.8597271206594248,0.8564111894199715,0.8602962030276998,161.5186990680004,21.34817999400002,0.08604840885144811
A1,Lexical + structural only,1,56,True,False,False,False,0.9947521554429584,0.9807735689444497,0.8679583011173703,0.8503588334096809,0.8409997137219569,0.851301674291462,157.00345427200045,21.383214192000196,0.08592398273742152
A1,Lexical + structural only,2,56,True,False,False,False,0.9971113688589908,0.9889798285751111,0.923650652652936,0.8630886423761178,0.8614471862441067,0.8635509643204538,161.7393630329998,21.69606427100007,0.08871214951731046
A1,Lexical + structural only,3,56,True,False,False,False,0.9975640858124205,0.9892787289015527,0.933100973237964,0.8615747040068236,0.8572273700744656,0.8618066972019683,157.98573275000035,20.76178261000041,0.0843272176032185
A1,Lexical + structural only,4,56,True,False,False,False,0.9934052495975976,0.977211097708082,0.87086773600638,0.8459887351488001,0.8403958180923746,0.8474241303545681,160.23189061099947,22.310829809999632,0.08868319617297005
A2,Lexical + structural + adversarial/brand,0,94,True,True,False,False,0.995780259484494,0.9877848427890329,0.9179966318583243,0.8716378806505573,0.8775444416657006,0.8721944134460883,253.4018090190002,21.78050249900025,0.08779097724258952
A2,Lexical + structural + adversarial/brand,1,94,True,True,False,False,0.995430051719944,0.9816200569982637,0.8737178243237346,0.8611921466515579,0.857515937613568,0.8619726829593077,253.5707695809997,21.451014095000573,0.08619642249520044
A2,Lexical + structural + adversarial/brand,2,94,True,True,False,False,0.997241925210228,0.9894034742863687,0.9262497212792118,0.8733067012311555,0.8769528381308046,0.8737591793655184,253.08490005600015,20.981713771000614,0.08579127098504954
A2,Lexical + structural + adversarial/brand,3,94,True,True,False,False,0.997402057071603,0.9891157807913911,0.931413586617648,0.8707865396722244,0.8701202464568795,0.8710743762852858,251.38378394700067,21.65099859900056,0.08793890700432794
A2,Lexical + structural + adversarial/brand,4,94,True,True,False,False,0.9939226430162864,0.9778283883482028,0.8743785009647131,0.8554251348482982,0.860964414491216,0.8567843155268919,192.49094156999945,16.316409471000043,0.06485600734163043
A3,Lexical + structural + Turkish linguistic,0,81,True,False,True,False,0.9962764975682536,0.9854010468241619,0.8994959995516114,0.8809125536588807,0.8762923433482854,0.8816491034138066,216.04594715099938,21.446305207000478,0.08644392352526442
A3,Lexical + structural + Turkish linguistic,1,81,True,False,True,False,0.9965665176526041,0.9873424295359048,0.9149917857878557,0.8838111081643641,0.87336030636343,0.8840758745380928,216.6522229839993,21.78181437999956,0.0875256743898207
A3,Lexical + structural + Turkish linguistic,2,81,True,False,True,False,0.9972313978640408,0.9894685665668099,0.9261210177977571,0.8853729243929066,0.8830676578300711,0.885763644796056,206.17232272299952,20.34885712799951,0.08320360935040094
A3,Lexical + structural + Turkish linguistic,3,81,True,False,True,False,0.9978610749043889,0.9898753387533875,0.9356611515532787,0.8853800694543166,0.8761389453293738,0.8856559675575291,212.33077895300084,22.05087091200039,0.08956305075851584
A3,Lexical + structural + Turkish linguistic,4,81,True,False,True,False,0.9956713128838126,0.9822467775196682,0.899789427558934,0.8783165526534409,0.8690094435852738,0.879169933985742,215.88439698500042,22.344395999998596,0.08881661823919562
A4,Lexical + structural + graph-based infrastructure,0,72,True,False,False,True,0.9990449624366766,0.994599504658903,0.963610066229372,0.895523892057478,0.888794260964622,0.8957687746646719,195.16012745499938,21.793021741999837,0.08784143873113057
A4,Lexical + structural + graph-based infrastructure,1,72,True,False,False,True,0.9961712919534876,0.9880241772496968,0.918011745607726,0.8849281931351513,0.8686648417628916,0.8855435088641727,195.039887506,21.295408911999402,0.08557115554805234
A4,Lexical + structural + graph-based infrastructure,2,72,True,False,False,True,0.9988077146296864,0.9940668361856327,0.9581097705847538,0.8916820339620636,0.8851226978095396,0.8920094299834325,199.93249322299926,20.716733337001642,0.08470780332997356
A4,Lexical + structural + graph-based infrastructure,3,72,True,False,False,True,0.9993223736545698,0.9948441697235781,0.9671045452468288,0.8913547653378282,0.8796545535943256,0.8915136449482477,194.25886702999924,20.938375310999618,0.08504447639568496
A4,Lexical + structural + graph-based infrastructure,4,72,True,False,False,True,0.9981048842897646,0.98851683409936,0.9349555420652905,0.8868268019190791,0.8766683387374723,0.8876839330541034,193.36366332200123,21.705675486999098,0.08627777154293124
A5,Lexical + structural + adversarial/brand + Turkish linguistic,0,119,True,True,True,False,0.9966532541383646,0.9864463090732334,0.9071072958961269,0.8877365525302807,0.888599960973395,0.888396896768765,305.0288256540007,22.457693798000037,0.09052054171990583
A5,Lexical + structural + adversarial/brand + Turkish linguistic,1,119,True,True,True,False,0.9966990571712016,0.9874320732357926,0.9155960490031249,0.8890670331348297,0.8826430795763264,0.8893008012786845,305.23439774800136,22.955212169001243,0.09224072847200956
A5,Lexical + structural + adversarial/brand + Turkish linguistic,2,119,True,True,True,False,0.9975394555366367,0.9899894437600231,0.929711129712225,0.8946137459264741,0.8960981623450646,0.8949550022424967,304.89736726499905,22.016645797999445,0.0900229622066732
A5,Lexical + structural + adversarial/brand + Turkish linguistic,3,119,True,True,True,False,0.9976887446185602,0.9891642543115584,0.9306318943291915,0.890798318474442,0.8885796332495646,0.891111987726704,307.993369582,21.5569885169989,0.08755707039661623
A5,Lexical + structural + adversarial/brand + Turkish linguistic,4,119,True,True,True,False,0.996045123357685,0.9824539379659315,0.9008680948396547,0.8833845432249909,0.883201375805149,0.8842363237262759,309.9453236650006,22.9777846629986,0.09133427139387072
A6,Lexical + structural + adversarial/brand + Turkish linguistic + graph,0,135,True,True,True,True,0.9993247469409583,0.9954263173577641,0.969124519187875,0.9162296700860557,0.9112472073344676,0.9163704147541607,345.78467046900005,23.08937928100022,0.0930666852657257
A6,Lexical + structural + adversarial/brand + Turkish linguistic + graph,1,135,True,True,True,True,0.997816462657596,0.9890897462425462,0.9254846261701681,0.9056143565510203,0.8937218949323945,0.9058829343496906,329.26791147699987,21.227223895999487,0.08529716829407256
A6,Lexical + structural + adversarial/brand + Turkish linguistic + graph,2,135,True,True,True,True,0.99885964390069,0.9945376001142463,0.9613389604918263,0.91439155732376,0.9107447084545868,0.9145777885688756,349.30213441900014,22.032828290999532,0.09008913014020506
A6,Lexical + structural + adversarial/brand + Turkish linguistic + graph,3,135,True,True,True,True,0.999302368286451,0.995192608455042,0.9692410142933897,0.9142056416400967,0.905623975681717,0.9142624710362848,349.3908723959994,22.941317496999545,0.09317973841717082
A6,Lexical + structural + adversarial/brand + Turkish linguistic + graph,4,135,True,True,True,True,0.9981611866238288,0.9894070252724322,0.9402916055490304,0.9074406051379487,0.9022937137359731,0.9079824132455705,325.3529455780008,22.109478681999462,0.08788284666843998
A7,"Full retained feature set, artifact-controlled",0,135,True,True,True,True,0.9993247495427178,0.9954263173577641,0.969124519187875,0.9162256393720147,0.911278565091688,0.9163662670197049,364.5357951679998,23.009783797999262,0.09274585863479418
A7,"Full retained feature set, artifact-controlled",1,135,True,True,True,True,0.9978152520288,0.9890850948764373,0.9254515474150116,0.9056063199684966,0.8936486909730179,0.9058749852112858,352.314240533,21.761524327001098,0.08744414304715503
A7,"Full retained feature set, artifact-controlled",2,135,True,True,True,True,0.998859687186159,0.9945376001142463,0.9613389604918263,0.9143833796055887,0.9107709864160028,0.9145697765167745,367.515817382,23.106110349999653,0.09447762923861212
A7,"Full retained feature set, artifact-controlled",3,135,True,True,True,True,0.9993022717819001,0.995192608455042,0.9692410142933897,0.9142056416400967,0.905623975681717,0.9142624710362848,371.8555183979988,22.39536114299881,0.09096225155053232
A7,"Full retained feature set, artifact-controlled",4,135,True,True,True,True,0.9981612703892454,0.9894070252724322,0.9402916055490304,0.9074406051379487,0.9022937137359731,0.9079824132455705,342.32871143400007,21.705640348000088,0.08627763186911502
A8,"Full retained feature set, artifact-controlled, inductive graph projection",0,135,True,True,True,True,0.9993247495427178,0.9954263173577641,0.969124519187875,0.9162256393720147,0.911278565091688,0.9163662670197049,363.60286323199944,22.922021446000144,0.09239211369032083
A8,"Full retained feature set, artifact-controlled, inductive graph projection",1,135,True,True,True,True,0.9978152520288,0.9890850948764373,0.9254515474150116,0.9056063199684966,0.8936486909730179,0.9058749852112858,354.9464305140009,22.910348760997294,0.09206045423165166
A8,"Full retained feature set, artifact-controlled, inductive graph projection",2,135,True,True,True,True,0.998859687186159,0.9945376001142463,0.9613389604918263,0.9143833796055887,0.9107709864160028,0.9145697765167745,370.7170024909974,23.1306198759994,0.09457784523668115
A8,"Full retained feature set, artifact-controlled, inductive graph projection",3,135,True,True,True,True,0.9993022717819001,0.995192608455042,0.9692410142933897,0.9142056416400967,0.905623975681717,0.9142624710362848,371.72980093799924,22.68705344400223,0.09214700531671668
A8,"Full retained feature set, artifact-controlled, inductive graph projection",4,135,True,True,True,True,0.9981612703892454,0.9894070252724322,0.9402916055490304,0.9074406051379487,0.9022937137359731,0.9079824132455705,344.49292418799814,22.12156310499995,0.08793088097575692
