Model,Accuracy_mean,Accuracy_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_Macro_mean,Precision_Macro_std,Recall_Macro_mean,Recall_Macro_std,F1_Macro_mean,F1_Macro_std,F1_Weighted_mean,F1_Weighted_std,MCC_mean,MCC_std,Cohen_Kappa_mean,Cohen_Kappa_std,ROC_AUC_OVR_mean,ROC_AUC_OVR_std,ROC_AUC_OVO_mean,ROC_AUC_OVO_std,PR_AUC_mean,PR_AUC_std,Log_Loss_mean,Log_Loss_std,Brier_Score_mean,Brier_Score_std,Train_Time_s_mean,Train_Time_s_std,Pred_Time_s_mean,Pred_Time_s_std,FPR_mean,FPR_std,FNR_mean,FNR_std,Total_Errors
HistGB,0.9869774320795905,0.006222528185621143,0.9722885449316149,0.018672343002351002,0.978057769282675,0.0035201937751316915,0.9722885449316149,0.018672343002351002,0.9749852001013414,0.011268782379845198,0.9868957256573008,0.006364902663040643,0.9502273771099923,0.022226154904276853,0.9499755405243981,0.022530861419787558,0.9987357431430037,0.0007128431573317251,,,0.9997668789366181,0.00014032816081658485,0.033881375629733555,0.013859483088874826,0.009675402250354573,0.004324276698509489,113.94000000000001,2.300652081476034,3.028,0.14481022063376608,0.049253641553293384,0.03732526904211445,0.006169268583476864,0.0002723413211250917,16191
LightGBM,0.9862604775965849,0.003946297129845539,0.9827488483919888,0.01339871282607641,0.9657310175068083,0.0036770914645106426,0.9827488483919888,0.01339871282607641,0.9739232848230127,0.007951893302405463,0.9863652015883451,0.004008523240709297,0.948277377513644,0.01614486002468726,0.9478518296180841,0.015906515740433117,0.9986416508500753,0.0007495779892835954,,,0.9997487458560241,0.00015312350495842885,0.03675120540111502,0.00850901935624089,0.010468904824905317,0.0027458034133406783,37.04,2.3776038357977143,1.528,0.12597618822618822,0.022314805540969374,0.026978342724084902,0.012187497675053102,0.0008640867643024103,17046
RandomForest,0.9787459581528999,0.0036366708613040175,0.9781204099016101,0.011117832376855935,0.9451634504147911,0.003572994322174758,0.9781204099016101,0.011117832376855935,0.9606202105000545,0.0056042250599455095,0.9791110057507405,0.0036733441132092023,0.9226430830555582,0.011776975540681883,0.9212702375836216,0.011216783960956342,0.9970148504924069,0.0008271629049485193,,,0.9994619950983891,0.00017342183354123229,0.08274464897078986,0.004537294917081559,0.020159310064771417,0.001608811791466151,135.4,2.1307275752662496,2.024,0.15678010077812815,0.022865933842343304,0.02262963048947802,0.020893246354436505,0.0023895788879000892,26370
XGBoost,0.9747738200860543,0.00742427231377497,0.9238887051475466,0.021439050178265757,0.978997943800632,0.003734317873512877,0.9238887051475466,0.021439050178265757,0.9486428610919772,0.01442374297637514,0.973938841790576,0.007935129791004011,0.9010308086722244,0.026279856011683297,0.8974049427234997,0.028735766245205734,0.9982009593255381,0.0008416015939689387,,,0.999667974754223,0.0001596441689546292,0.061628243210067324,0.01982858586422949,0.018278188250947885,0.005781095605767884,37.760000000000005,1.455335012978113,0.45200000000000007,0.043817804600413304,0.14984279953049356,0.04308131280288397,0.0023797901744133506,0.00024476288504287973,31330
LogisticRegression,0.9475622920529745,0.009713902633914074,0.9482714130345965,0.019113196336549777,0.8782912332827875,0.01757838212829113,0.9482714130345965,0.019113196336549777,0.9079036201440773,0.015547181235039327,0.9497663723830978,0.009466423428648221,0.8233828175791293,0.030430599083595685,0.816260945629123,0.03097483590671117,0.9825230001093616,0.007535439815305615,,,0.9964933584294547,0.001903715682182976,0.16493017173549457,0.02274116488316899,0.04224827169190661,0.008269742369029394,94.35999999999999,34.67481795193739,0.462,0.004472135954999559,0.05124245879634358,0.035532806784644724,0.052214715134463595,0.007415159472590733,65060
ExtraTrees,0.9208733273045739,0.005392088988695115,0.9378789802839107,0.007063627330447407,0.8301876050416592,0.010593243192780688,0.9378789802839107,0.007063627330447407,0.8698276401400115,0.009175524336177923,0.9263830484388018,0.005039939507124793,0.7604411442681803,0.017291435838749942,0.7416112769268356,0.01813380407868333,0.985308369766542,0.0029500863060870027,,,0.9972348817710971,0.00048814423766413905,0.26962913458876553,0.006056451406389421,0.07623322809778413,0.002417395858319035,94.82,0.810555365166378,2.004,0.1163185281887628,0.03737108066942268,0.012062806002282793,0.08687095876275594,0.006269111492107559,98099
ComplementNB,0.7756051079549813,0.014359074198857577,0.8173968755356371,0.009880560916408977,0.6839930181795535,0.014853093488620326,0.8173968755356371,0.009880560916408977,0.6981054138657856,0.016381047585859905,0.8041530112179048,0.012126423707327237,0.4831718672454281,0.026121003474929554,0.42363466205694494,0.028675807307997608,0.9008210435720938,0.011090479658341713,,,0.9803749026935945,0.0016609928990467806,0.4529163492878555,0.026787533746524036,0.14407514574605118,0.008765345157098665,18.88,0.13038404810405305,0.492,0.008366600265340763,0.12174941566371333,0.026125053458077887,0.24345683326501227,0.019806633172751824,278169
